EGreedy,EDecreasing,Hybrid1,Hybrid2,Hybrid3,Hybrid4,Hybrid5
0,0,0,0,0,0,0
9.2,10.8,9.2,10,4.4,9,5.4
15.4,15.8,14,14.6,6,12.8,11.2
22.4,24.2,20,23,12.2,26.2,21
26.6,32.4,26.2,28.6,19.2,33.8,28.4
31.2,36.6,32.2,36,23.2,39,34.6
38.8,41.2,36.6,43.8,29.4,40.2,39.2
40,49.4,49.4,50.6,34.6,42.6,42.2
43,56.8,57,59.4,45.4,53.2,48
52.8,68.2,70,69,57,51.8,48.8
50.6,75.8,75.4,81.4,71.6,56.2,54.8
56.2,80.4,81,92.8,84.6,63,61.2
61.4,91.2,89.8,103.8,96.2,65.8,64.6
69.8,95,94.8,111,104.2,72,71.6
73.2,104,102.6,122.6,113.4,72.8,73.8
78.6,110.8,106.2,130.8,121.6,79.8,82.2
82,122.8,116.4,141.6,132,82.2,82.4
86.4,128.2,121.8,152.6,143.6,89.4,92
95,136,133.4,166,157.2,94.8,94
98.6,143,148.4,173.2,164.6,96.8,98.8
-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
3.8,5,6,4.6,6.6,4.6,3
5.6,10,7.6,9,8,6.2,3.6
9,12.6,8.6,8.8,15.6,17.2,11.4
14.8,15,13.8,15,27,26.2,17.8
19,24.8,21.8,24.2,32.4,37,24.4
25.8,32.8,26.6,33.2,40.6,47.2,31.8
29.4,40.4,32.4,43.4,50,60.8,42.6
40.4,48.2,43.8,51.6,57.4,70,47.6
44.4,53.2,50,58.4,62,80.2,55.6
49.8,62.2,60.8,75.6,82,89,61.8
59.2,71.8,66.6,85,92.8,106.6,74.4
66.4,80.8,79,99.2,106.2,116.2,82.2
74.6,92.6,90.6,106.8,114.2,127.4,89
77.6,103.4,95.8,116.8,124.8,137.4,92.6
80.4,119.4,109.2,129.6,136.8,149.4,101.8
86.6,133.4,121,136.2,143.8,155.8,103.8
89.2,149.4,135.4,147.2,152.4,165.2,107.2
90.8,155.6,145.6,162.2,168.2,177.6,116
99.2,167.8,151.8,170.2,178.2,191.8,127.2
0.2,0.2,0.2,0.2,0.2,0.2,0.2
7.6,10,7.8,7.2,8.6,7.4,8
15.4,15.4,16,14.6,17,14.2,11.4
18.6,20,22,21,23.2,23.2,17.2
22,29.2,28,30.2,32,23.6,19
23,41.6,39.8,39.4,43.4,37.6,22.8
29.8,52.4,52,50,56.8,50,32
39.4,62.6,62.2,59.8,66,67,43.8
48.2,66.2,68.4,69,79,79.2,49.6
52.8,77,80.6,80.2,90.6,87.2,53.6
57.4,82.8,86.4,92.6,100.2,96.2,59.8
61.6,92.6,98.8,104.8,113.8,106.2,63.8
69.2,100.6,107.6,118,127.6,118.8,69.8
76.6,109.4,116.6,129.4,139.8,133,76.4
83.6,116.8,126,138.6,148,142.8,84.4
87.2,125.8,139,148,158.6,150.4,86.2
91.2,131.8,145.6,162.2,170.4,163.2,89.4
96.2,142,156.6,172.2,181,174,98
103.2,151.8,166.6,186.2,194,186.4,105.6
111,165,174.8,198,208.6,202.6,115
