Strategy,MeanRewards
EGreedy,0
EGreedy,9.2
EGreedy,15.4
EGreedy,22.4
EGreedy,26.6
EGreedy,31.2
EGreedy,38.8
EGreedy,40
EGreedy,43
EGreedy,52.8
EGreedy,50.6
EGreedy,56.2
EGreedy,61.4
EGreedy,69.8
EGreedy,73.2
EGreedy,78.6
EGreedy,82
EGreedy,86.4
EGreedy,95
EGreedy,98.6
EGreedy,-0.2
EGreedy,3.8
EGreedy,5.6
EGreedy,9
EGreedy,14.8
EGreedy,19
EGreedy,25.8
EGreedy,29.4
EGreedy,40.4
EGreedy,44.4
EGreedy,49.8
EGreedy,59.2
EGreedy,66.4
EGreedy,74.6
EGreedy,77.6
EGreedy,80.4
EGreedy,86.6
EGreedy,89.2
EGreedy,90.8
EGreedy,99.2
EGreedy,0.2
EGreedy,7.6
EGreedy,15.4
EGreedy,18.6
EGreedy,22
EGreedy,23
EGreedy,29.8
EGreedy,39.4
EGreedy,48.2
EGreedy,52.8
EGreedy,57.4
EGreedy,61.6
EGreedy,69.2
EGreedy,76.6
EGreedy,83.6
EGreedy,87.2
EGreedy,91.2
EGreedy,96.2
EGreedy,103.2
EGreedy,111
EGreedy,0.2
EGreedy,1
EGreedy,11.2
EGreedy,14.2
EGreedy,25
EGreedy,27.2
EGreedy,37
EGreedy,37.4
EGreedy,46.6
EGreedy,49.6
EGreedy,58.6
EGreedy,63.6
EGreedy,67.6
EGreedy,70.6
EGreedy,78
EGreedy,82.8
EGreedy,90.8
EGreedy,98.6
EGreedy,102
EGreedy,107.2
EGreedy,0
EGreedy,7.6
EGreedy,12
EGreedy,20.4
EGreedy,27.2
EGreedy,41.6
EGreedy,47.6
EGreedy,50
EGreedy,55
EGreedy,68.8
EGreedy,80.8
EGreedy,95.6
EGreedy,104.4
EGreedy,114
EGreedy,126
EGreedy,134.8
EGreedy,141
EGreedy,150.4
EGreedy,159.2
EGreedy,165.2
EGreedy,0.2
EGreedy,8
EGreedy,20.6
EGreedy,24
EGreedy,31.8
EGreedy,46.6
EGreedy,55.8
EGreedy,67.4
EGreedy,79
EGreedy,92.2
EGreedy,110
EGreedy,123
EGreedy,128.2
EGreedy,141
